template_code	template_smarts	num_rxns_covered
T88	(Cl[c:1].[NH:2])>>[c:1][N:2]	1001
T89	(Cl[c:1].[SH:2])>>[c:1][S:2]	47
T90	(O=[CH:1].[NH:2])>>[CH2:1][N:2]	550
T91	(BrC(Br)(Br)[Br:2].O[CH2:1])>>[CH2:1][Br:2]	72
T92	CC(C)(C)O[C:1](=O)[N:2]C>>[CH3:1][NH:2]	52
T93	(Cl[S:2].[NH:1])>>[N:1][S:2]	291
T94	Cl[c:1]>>[cH:1]	90
T95	(CCO[C:1].[CH3:2])>>[C:1][CH2:2]	20
T96	(CC1(C)OB([c:2])OC1(C)C.Cl[c:1])>>[c:1]-[c:2]	333
T97	C[O:2][c:1]>>[c:1]=[O:2]	146
T98	(Br[c:2].CC1(C)OB([c:1])OC1(C)C)>>[c:1]-[c:2]	514
T99	(CC1(C)OB([c:1])OC1(C)C.Cl[c:2])>>[c:1]-[c:2]	106
T100	(O=[C:1].[NH2:2])>>[C:1]=[N:2]	409
T101	(I[CH3:1].[NH:2])>>[CH3:1][N:2]	166
T102	(O[CH:1].[OH:2])>>[CH:1][O:2]	196
T103	O=C1c2ccccc2C(=O)[N:1]1>>[NH2:1]	181
T104	(F[c:1].[NH2:2])>>[c:1][NH:2]	307
T105	CC(C)(C)[Si](C)(C)[O:1]>>[OH:1]	373
T106	(CC[O:2][C:3]=O.[NH2:1])>>[NH:1][C:3]=[O:2]	146
T107	(Cl[S:2].[NH2:1])>>[NH:1][S:2]	801
T108	[C:1]#[N:2]>>[CH2:1][NH2:2]	219
T109	(CS[c:1].[NH2:2])>>[c:1][NH:2]	27
T110	(Br[CH2:2].[CH2:1])>>[CH:1][CH2:2]	78
T111	([N:2]=[C:3].[NH2:1])>>[NH:1][C:3][NH:2]	410
T112	O=C(OCc1ccccc1)[N:1]>>[NH:1]	128
T113	(O=P(Cl)(Cl)[Cl:2].O=[c:1])>>[c:1][Cl:2]	184
T114	CC(C)([O:1])[O:2]>>([OH:1].[OH:2])	75
T115	CC(C)(C)[Si](c1ccccc1)(c1ccccc1)[O:1]>>[OH:1]	44
T116	(CC(=O)O[C:1].[OH:2])>>[C:1][O:2]	73
T117	(C[O:1].C[O:2])>>([OH:1].[OH:2])	86
T118	(Br[CH:1].[NH:2])>>[CH:1][N:2]	58
T119	([N:2]#[C:3].[NH2:1])>>[NH:1][C:3]=[NH:2]	70
T120	(Br[c:1].[SH:2])>>[c:1][S:2]	103
T121	[N-]=[N+]=[N:1]>>[NH2:1]	167
T122	(Br[CH2:1].[NH2:2])>>[CH2:1][NH:2]	192
T123	[C:1]#[C:2]>>[CH2:1][CH2:2]	106
T124	O=[C:1]>>[CH2:1]	302
T125	(Br[c:1].[Cu][C:2])>>[c:1][C:2]	67
T126	([N:2]#[C:3].[NH2:1])>>[N:1]=[C:3][NH2:2]	84
T127	(Cl[c:1].[NH3:2])>>[c:1][NH2:2]	66
T128	(Cl[C:1]Cl.[NH2:2])>>[C:1]=[N:2]	23
T129	(Br[c:1].OB(O)[CH:2])>>[c:1][CH:2]	105
T130	(Br[CH:1].[OH:2])>>[CH:1][O:2]	74
T131	O=[C:1][NH2:2]>>[C:1]#[N:2]	89
T132	[CH:1]=[CH:2]>>[CH2:1][CH2:2]	238
T133	(O[N+:2].[cH:1])>>[c:1][N+:2]	25
T134	(O=S(=O)(O[c:1])C(F)(F)F.OB(O)[c:2])>>[c:1]-[c:2]	77
T135	CCO[C:1]=[O:2]>>[CH2:1][OH:2]	234
T136	[CH:1]=[O:2]>>[CH2:1][OH:2]	251
T137	(CO[C:1].[NH2:2])>>[C:1][NH:2]	107
T138	(Br[c:2].[CH:1])>>[C:1][c:2]	58
T139	O=C(OCc1ccccc1)[NH:1]>>[NH2:1]	133
T140	(Br[CH:1].[nH3:2])>>[CH:1][n:2]	173
T141	(Cl[c:1].[nH3:2])>>[c:1]-[n:2]	84
T142	(CCOP(=O)(OCC)[CH2:1].O=[CH:2])>>[CH:1]=[CH:2]	58
T143	CC[O:2][C:1]=O>>[CH2:1][OH:2]	89
T144	(Cl[c:2].OB(O)[c:1])>>[c:1]-[c:2]	81
T145	(O=[CH:2].[CH3:1])>>[CH:1]=[CH:2]	46
T146	(Cl[C:1].[cH:2])>>[C:1][c:2]	38
T147	(Br[c:1].CCCC[Sn](CCCC)(CCCC)[c:2])>>[c:1]-[c:2]	73
T148	([N:1]=[C:3].[OH:2])>>[NH:1][C:3][O:2]	85
T149	(O=S(Cl)[Cl:2].O=[C:3][OH:1])>>[O:1]=[C:3][Cl:2]	53
T150	CC(C)(C)OC(=O)[n:1]>>[nH3:1]	63
T151	(F[c:1].[nH3:2])>>[c:1]-[n:2]	59
T152	(Cl[C:1].[CH2:2])>>[C:1][CH:2]	22
T153	(C[O:2][C:3]=O.[NH3:1])>>[NH2:1][C:3]=[O:2]	37
T154	(O=S(Cl)[Cl:2].O[CH2:1])>>[CH2:1][Cl:2]	157
T155	(Br[CH2:1].[SH:2])>>[CH2:1][S:2]	190
T156	(CC(=O)O[C:1].[NH2:2])>>[C:1][NH:2]	134
T157	CC(=O)[NH:1]>>[NH2:1]	79
T158	C[O:2][C:1]=O>>[CH2:1][OH:2]	89
T159	(O[CH:1].[NH:2])>>[CH:1][N:2]	40
T160	(Cl[c:2].OB(O)[c:1].[cH:3])>>([c:2]-[c:3].[cH:1])	71
T161	([O:2]=[CH:3].[cH:1])>>[c:1][CH:3][OH:2]	78
T162	(Cl[CH2:1].[NH2:2])>>[CH2:1][NH:2]	124
T163	(O=[C:1]([O-])[O-].[OH:2])>>[CH3:1][O:2]	141
T164	(O=[CH:3].[c:1]([c:2][NH2:5])[NH2:4])>>[c:1]1[c:2][nH:5][c:3][n:4]1	130
T165	(O[CH2:1].[NH:2])>>[CH2:1][N:2]	191
T166	(O[CH3:1].[OH:2])>>[CH3:1][O:2]	196
T167	[C:1]=[N:2]>>[CH:1][NH:2]	38
T168	[CH:1]=[CH2:2]>>[CH2:1][CH3:2]	58
T169	C[Si](C)(C)CCOC[n:1]>>[nH3:1]	130
T170	(Cl[S:2].[nH3:1])>>[n:1][S:2]	101
T171	(Cl[C:1].[nH3:2])>>[C:1][n:2]	44
T172	(Br[CH2:2].[C-:1])>>[C:1][CH2:2]	34
T173	(O=[C:1]([O-])[O-].[nH3:2])>>[CH3:1][n:2]	59
T174	(Br[c:1].[O:2]=[CH:3])>>[c:1][CH:3][OH:2]	61
T175	(Br[C:1].[OH:2])>>[C:1][O:2]	44
T176	(O[CH2:1].[OH:2])>>[CH2:1][O:2]	421
T177	(COc1ccc(P2(=S)SP(c3ccc(OC)cc3)(=[S:2])S2)cc1.O=[C:1])>>[C:1]=[S:2]	86
T178	([C:1]#[CH:2].[N-:3]=[N+:5]=[N:4])>>[c:1]1[cH:2][n:4][n:5][n:3]1	46
T179	(Br[c:1].[CH2:2])>>[c:1][CH:2]	114
T180	(Cl[C:2].[cH:1])>>[c:1][C:2]	141
T181	(CN(C)[CH:2].[cH:1])>>[c:1][CH:2]	73
T182	(Br[Br:2].[CH2:1])>>[CH:1][Br:2]	3
T183	(Br[c:1].[O:2]=[C:3])>>[c:1][C:3][OH:2]	93
T184	O[C:1][CH2:2]>>[C:1]=[CH:2]	74
T185	O[C:1]>>[CH:1]	38
T186	(O=C(Cl)C(=O)[Cl:2].O[C:1])>>[C:1][Cl:2]	55
T187	(I[c:1].OB(O)[c:2])>>[c:1]-[c:2]	215
T188	([C:1]#[N:2].[N-:3]=[N+:4]=[N-:5])>>[c:1]1[n:2][n:3][n:4][nH:5]1	51
T189	([NH:3].[O:1][CH2:2])>>([CH2:2][N:3].[OH:1])	73
T190	COC[O:1]>>[OH:1]	68
T191	C[Si](C)(C)[C:1]>>[CH:1]	99
T192	(O=[C:3][O:2][C:1].[NH2:4])>>[C:1][N:4][C:3]=[O:2]	30
T193	(O=C1CCC(=O)N1[I:2].[cH:1])>>[c:1][I:2]	130
T194	([N:1]#[C:3].[OH-:2])>>[NH2:1][C:3]=[O:2]	54
T195	c1ccc(C[O:1][C:3]=[O:2])cc1>>[O:1]=[C:3][OH:2]	41
T196	(Br[c:2].OB(O)[c:1].[cH:3])>>([c:2]-[c:3].[cH:1])	275
T197	(Cl[CH2:1].[CH3:2].[OH:3])>>([CH2:2][O:3].[CH3:1])	33
T198	(BrP(Br)[Br:2].O[CH2:1])>>[CH2:1][Br:2]	86
T199	(O=[C:1]([O-])[O-].[NH:2])>>[CH3:1][N:2]	56
T200	(O=C1CCC(=O)N1[Cl:2].[cH:1])>>[c:1][Cl:2]	164
T201	(O=[C:3]O.[c:1]([c:2][NH2:5])[NH2:4])>>[c:1]1[c:2][nH:5][c:3][n:4]1	50
T202	(O=[CH:1].[CH3:2])>>[CH:1]=[CH:2]	80
T203	(Br[CH2:1][CH:3]=[CH2:4].[OH:2])>>[CH2:1]=[CH:3][CH2:4][O:2]	37
T204	(CS(=O)(=O)O[CH2:1].[NH:2])>>[CH2:1][N:2]	100
T205	(Cc1ccc(S(=O)(=O)O[CH2:1])cc1.[OH:2])>>[CH2:1][O:2]	49
T206	O=C(O)[c:1]>>[cH:1]	49
T207	(O=[C:1][CH2:3]Br.[C:2]([NH2:4])=[S:5])>>[c:1]1[cH:3][s:5][c:2][n:4]1	112
T208	(O=[C:1].[NH:2])>>[CH:1][N:2]	129
T209	([O:2]=[C:3].[cH:1])>>[c:1][C:3][OH:2]	39
T210	(I[CH3:1].[nH3:2])>>[CH3:1][n:2]	94
T211	O=S(=O)(c1ccccc1)[n:1]>>[nH3:1]	38
T212	(O=S(Cl)[Cl:2].O[C:1])>>[C:1][Cl:2]	83
T213	(I[c:1].[CH2:2])>>[c:1][CH:2]	51
T214	(Cl[CH2:1].[nH3:2])>>[CH2:1][n:2]	276
T215	([NH2:3].[O:1][CH2:2])>>([CH2:2][NH:3].[OH:1])	40
T216	(CS(=O)(=O)[c:1].[NH2:2])>>[c:1][NH:2]	49
T217	(CS(=O)(=O)[c:1].[OH:2])>>[c:1][O:2]	30
T218	(OOC(c1cccc(Cl)c1)=[O:1].[S:2])>>[O:1]=[S:2]	48
T219	(I[c:1].[NH:2])>>[c:1][N:2]	194
T220	(O=[C:1][CH2:3]Br.[c:2]([NH2:4])[n:5])>>[c:1]1[cH:3][n:5][c:2][n:4]1	34
T221	(CS(=O)[c:1].[NH2:2])>>[c:1][NH:2]	27
T222	(CS[C:1].[NH2:2])>>[C:1][NH:2]	20
T223	(O[CH2:1].[nH3:2])>>[CH2:1][n:2]	78
T224	(I[c:1].[NH2:2])>>[c:1][NH:2]	106
T225	(Br[c:1].Br[c:2])>>[c:1]-[c:2]	26
T226	(I[CH2:1].[NH:2])>>[CH2:1][N:2]	99
T227	(O[CH:1].[NH2:2])>>[CH:1][NH:2]	59
T228	(I[c:2].[CH:1])>>[C:1][c:2]	47
T229	(OB(O)[c:1].[nH3:2])>>[c:1]-[n:2]	39
T230	(Cl[c:1].[O-:2])>>[c:1][O:2]	50
T231	(O=[C:3][OH:2].[cH:1])>>[c:1][C:3]=[O:2]	46
T232	c1ccc(C(c2ccccc2)(c2ccccc2)[n:1])cc1>>[nH3:1]	29
T233	(Cc1ccc(S(=O)(=O)O[CH2:1])cc1.[NH:2])>>[CH2:1][N:2]	24
T234	(ClC(Cl)(Cl)O[C:3]OC(Cl)(Cl)Cl.[NH2:1].[NH2:2])>>[NH:1][C:3][NH:2]	36
T235	(CS(=O)(=O)O[CH2:1].[OH:2])>>[CH2:1][O:2]	41
T236	(Br[Br:2].[cH:1])>>[c:1][Br:2]	38
T237	(O=[N+:1][O-].O=[N+:2][O-])>>([NH2:1].[NH2:2])	23
T238	[CH:1]=[N:2]>>[CH2:1][NH:2]	20
T239	(O=[C:3][O:2]c1ccccc1.[NH2:1])>>[NH:1][C:3]=[O:2]	48
T240	O[CH:1]>>[CH2:1]	43
T241	([NH2:2].c1ccc(O[C:1])cc1)>>[C:1][NH:2]	33
T242	(Br[Br:2].[CH3:1])>>[CH2:1][Br:2]	1
T243	(Cl[CH:1].[OH:2])>>[CH:1][O:2]	10
T244	(O[NH3+:4].[C:1]#[N:3].[O-][C:2][OH:5])>>[c:1]1[n:3][o:5][c:2][nH:4]1	170
